RegionID,SizeRank,RegionName,RegionType,StateName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020
102001,0,United States,Country,,204514,204454,204460,204499,204593,204743,204917,205200,205529,205969,206388,206840,207171,207615,208085,208688,209325,209950,210616,211186,211741,212216,212880,213677,214794,215844,216879,217675,218484,219301,220170,221194,222393,223658,224760,225711,226561,227598,228730,230037,231318,232787,234302,235681,236918,238191,239689,241285,242962,244641,246323,248017,249748,251468,253203,255019,256902,258788,260706,262695,264637,266490,268337,270224,272067,273798,275451,277129,278831,280577,282259,283899,285561,287303,289102,290923,292808,294865,297075,299371,301648,303982,306404,308904,311345,313736,316131,318499,320856,323050,325306,327705,330354,333109,335974,338849,341980,345297,348818,352389,356266,360434,364763,368982,373170,377298,381395,385605,389815,394104,398255,402675,407037,411524,416048,420629,425247,429604,433542,437066,440122,442858,445463,447782,449891,451451,452447,452947,452828,452526,452162,451731,451304,450797,450248,449506,448246,446590,444567,442578,440348,437880,435106,432145,428951,425095,420798,416140,411598,407224,402970,398663,394601,390603,386399,382085,377886,374525,371310,368220,365336,362923,361178,359664,358401,357470,357267,357333,357369,357002,356797,356889,356924,356357,354967,353337,351549,349742,347646,345731,343915,342277,340440,338458,336330,334650,333451,332570,331778,330895,330199,329465,328929,328527,328643,329126,330037,330992,332086,333267,334623,336294,338154,340249,342496,344943,347644,350511,353490,356497,359539,362577,365521,368196,370586,372752,374851,376789,378198,379240,380092,381132,382176,383056,383944,385015,386408,387844,389227,390690,392442,394154,395909,397417,398952,400615,402371,404113,405645,407375,409146,410887,412357,414051,415771,417617,419416,421278,423130,425018,427005,428924,430864,432755,434813,436913,439077,441275,443396,445492,447676,449959,452353,454718,457015,459403,461727,463926,466051,468084,470067,471756,473254,474620,475909,477001,477899,478515,478953,479519,480573,481902,483309,484512,485800,487099,488342,489716,491231,492906,494706,496443,497815
394913,1,"New York, NY",Msa,NY,344326,343513,342981,341952,341276,340634,340152,339866,339843,340015,340181,340410,340967,342093,343392,344553,345505,346712,347990,349190,350187,351108,352455,353997,355565,356632,357477,358332,359353,360468,361574,363150,365085,367444,369518,371655,373402,375525,377782,380675,383802,387111,390874,394186,397445,400321,403652,407091,410871,415006,419466,423851,428046,432250,436520,440904,445280,449588,453921,458200,462429,466880,471207,475793,480257,484762,488969,493082,497220,501921,506623,511348,516131,520571,524881,529204,533847,538819,543929,550060,556778,563502,569927,576540,583074,589755,596601,602977,609048,614885,620827,626201,630779,635212,640060,645181,651067,657057,663368,669390,676036,682960,690750,698619,707119,715487,723886,731594,739039,746062,753288,761607,770002,778317,785964,794001,802159,810712,818656,826673,833452,839795,844003,847432,850229,853396,855469,855728,854499,851624,848472,844963,841691,839055,838263,837280,836415,833320,830247,827075,824100,822180,820094,817886,815702,812847,808826,804488,798499,793472,788120,783963,779539,774492,769057,763441,757044,750448,744515,738502,733789,728357,723670,718558,714797,711971,710385,709366,708900,708819,707598,707148,706381,707362,707969,708321,707499,705838,703492,700745,698680,696832,696160,694304,692377,689125,686564,684450,682789,681152,679217,677519,675466,673364,671241,669922,668984,668754,668409,668349,668373,668831,669899,671485,673086,675058,676907,679280,682237,685595,689253,692684,696259,700071,703949,707422,711510,715168,719291,722446,725382,727571,729572,731716,733860,735722,736919,738559,739971,742023,743339,745321,746903,749168,750904,752565,754058,755675,758214,760145,761365,762307,763625,765699,767261,768752,770396,772319,774323,776477,778596,781124,784260,786628,789280,790984,794431,797769,801918,805553,809076,812141,814489,816637,819150,822723,826120,829487,831761,833861,835193,836797,838888,841100,843320,844428,844587,843985,843661,842866,842610,842250,842542,842126,841267,840381,839688,839723,840049,840464,840550,841054,841231
753899,2,"Los Angeles, CA",Msa,CA,324832,325409,325457,325710,325669,325729,325909,325833,325690,325628,325716,326114,325815,325000,324639,325170,326387,327540,328928,330796,332881,334899,336825,338888,342064,346006,349749,352675,355425,358087,360390,363322,366718,370328,373761,376546,379773,382585,385606,388282,390924,394463,398147,400603,402427,404624,407902,411326,414178,417046,420295,424087,428027,431720,435345,439350,443368,447219,450863,454762,458514,462497,466241,470510,474289,477932,481081,484542,488285,492620,496624,500995,505480,510590,515946,521655,527443,534267,542230,550662,558854,567131,576262,585467,593794,601204,608573,615841,623778,630564,639275,649182,660835,671267,683233,694831,708711,722990,738436,755151,773942,793560,810028,823320,835825,848786,859615,870878,881514,894155,906809,918824,928669,938094,950877,964996,980529,994896,1006635,1017667,1026596,1034520,1041032,1046800,1053601,1058354,1059822,1061321,1058388,1057502,1055356,1055218,1054097,1052224,1049287,1046791,1041801,1037117,1028490,1017623,1003722,990153,980238,969422,958125,941861,924618,903548,882889,865948,852241,840727,832043,821214,807415,788786,775666,768893,763837,758790,754331,749315,746533,745419,746985,749501,754085,760897,762744,760385,759909,763214,769126,768042,764100,758365,753078,747837,740406,735871,733531,733024,729899,725317,716960,714865,713508,712281,708059,703814,703466,702051,700144,697534,696369,696538,699503,702580,707413,711830,718097,726518,734019,743527,752813,767065,782282,799016,813486,827381,839465,854663,868086,878257,886143,891645,898195,899043,899088,897724,898249,898927,901988,900464,900350,900097,905158,909636,915665,922717,930146,934352,938660,942988,947137,952697,958444,965642,969998,977518,981242,986419,989103,995701,1001298,1006254,1010612,1016545,1022605,1028343,1032316,1034898,1040792,1044916,1050665,1054068,1060208,1066505,1071628,1076089,1080805,1086269,1094857,1103127,1109920,1116390,1122733,1129533,1134485,1139761,1143688,1145381,1144861,1145890,1146669,1145521,1142947,1137178,1131490,1128433,1132132,1137640,1143728,1147458,1152604,1155893,1157746,1160876,1164792,1171334,1177344,1181095,1179573
394463,3,"Chicago, IL",Msa,IL,286453,285903,285185,284283,283134,282470,281601,282579,284082,287071,289409,291107,291647,291592,291849,291625,291892,291378,290651,286239,280747,272928,266904,262632,261011,260735,260597,260567,260522,260484,261256,263926,267749,272645,276843,280013,281493,282369,283286,284544,285638,287433,289341,291200,292480,293910,295620,297421,299679,301998,304365,306437,308483,310436,312317,314418,316722,319084,321483,323958,326372,328434,330500,332703,335211,337581,339709,341783,343957,346334,348660,350743,352522,354424,356640,358518,360499,362407,364882,367181,369328,371318,373058,375200,377290,379730,381854,384257,386200,387900,389370,391233,393506,395700,397949,399921,402444,404701,407005,409440,412093,415278,418206,421155,423636,426365,429365,432577,435419,438330,441221,444351,447482,450852,454235,457454,460975,464375,467425,470184,472601,475106,477203,479394,481231,482640,483565,484536,485173,485642,485784,486262,487140,488386,487994,487524,485407,484571,482367,481226,478990,477678,476172,474409,472863,468095,466599,460855,459202,453230,451016,445621,442772,437553,433318,427045,420132,414937,409304,406085,401353,397913,395004,392686,389563,386894,384402,384013,383066,382864,379943,379560,376641,376636,371787,369456,365570,363821,359836,356673,353258,350858,348775,345269,343305,339918,339767,337850,337017,333303,331891,329031,327679,324303,323912,323188,323471,322678,321457,320514,319769,320894,322344,323776,325648,327992,329631,331993,333791,336908,339591,343299,346476,350140,351800,354094,355314,357451,358157,358092,358582,359966,361513,362011,362832,363145,364226,364906,365436,365381,366290,367996,369423,369348,369336,369519,369919,370091,370368,371011,371881,373665,374895,375831,376312,377403,378903,380238,381142,381975,383131,384522,386256,387541,389334,390796,392118,392724,393042,393763,394831,396379,397834,399470,401059,402002,402219,402413,402982,404069,404786,405447,406178,406656,407100,407021,406533,406379,406267,406674,406951,407205,407533,407621,407499,407278,406984,406850,406885,406941,407133,406921,406565
394514,4,"Dallas, TX",Msa,TX,202526,202548,202798,203243,203746,204015,204138,204425,204749,205349,205847,206357,206409,206569,206578,206830,206940,207326,207786,208167,208530,208880,209287,209851,210584,211271,211771,211863,212154,212481,213102,213661,214345,214265,214275,214057,214922,216128,217721,219249,220530,221893,223064,223856,224285,225267,226495,227697,228192,228642,228968,229255,229466,229569,229703,230033,230628,231240,231772,232316,232605,232261,231856,231588,231735,231647,231645,231812,232053,232176,232146,232222,232391,232901,233300,233905,234450,235437,236429,237305,237939,238508,239171,239900,240182,240096,239679,239457,239485,239772,240070,240398,240810,241413,242055,242561,243684,245784,248888,251477,252960,253575,254110,254865,255679,256566,257253,258079,259357,259938,260103,259903,260408,261276,262197,263050,263756,263822,264265,264457,265038,265908,266739,267549,268250,268949,269420,269648,269974,271090,271775,272475,272495,272370,272286,272467,272797,273102,273296,273895,274680,275201,275359,275383,274337,272793,270870,269690,268712,267991,267585,266923,265804,264435,263119,262118,261874,262327,262966,263031,262880,262426,262260,261958,262033,262029,262884,263320,263408,262964,262552,262688,262470,262327,261200,260144,258754,257803,256434,255763,255327,254671,253812,252465,251760,251035,251060,251198,251614,251801,251743,251254,250968,251656,252666,253851,254594,255350,256130,256931,257770,258537,259648,260947,262570,263736,265159,266599,268412,270256,272344,274352,276593,278820,281119,283203,284812,286539,287956,289499,290913,292724,294111,296087,297826,300052,302042,304134,306668,309112,312015,314674,317433,320044,322736,324932,326969,328889,331094,333638,335936,338336,340461,342821,345288,347531,350138,352332,354585,356716,359131,361565,363656,365659,367296,369358,371411,373678,375429,377079,379066,381267,383375,385109,386599,388608,390944,393095,394608,395975,397228,398593,399295,400531,401761,403677,405249,406125,406248,406261,406746,407403,408116,408862,409868,410339,410748,410770,411231,411954,413152,414397,415564
394974,5,"Philadelphia, PA",Msa,PA,207693,207371,207074,206546,206159,205909,205766,205706,205770,205918,206131,206319,206572,206882,207300,207757,208237,208707,209143,209453,209653,209761,209974,210291,210662,211056,211445,211753,211917,212002,212096,212462,212936,213594,214024,214435,214712,215115,215645,216357,217155,217978,218902,219744,220603,221429,222565,223934,225459,226998,228218,229404,230521,231771,232885,233898,234915,236039,237160,238353,239606,240999,242537,244007,245470,246847,248443,250011,251684,253263,255111,256716,258468,260203,262285,264518,266713,269017,271233,273967,276860,280048,282874,285983,288909,291959,294779,297655,300577,303479,306496,309364,312399,315433,318796,321744,324699,327688,331095,334621,338299,342055,346036,350157,353987,357287,360416,364036,368272,372042,375288,378369,381982,386035,390063,394038,397994,402187,406118,409854,412839,415671,418149,420604,422479,424108,425343,426381,427005,427374,427450,427288,427117,426913,426995,426760,427134,427131,427323,426667,426121,425573,425103,424337,423021,421967,420670,419473,417217,414757,412064,409843,407567,405017,402428,399913,397734,395818,394375,392967,391350,389611,387867,386594,385655,385500,385777,385919,385905,385187,384250,383478,383370,383501,383098,381794,379996,377657,374985,372669,370767,369448,367803,365667,363181,360829,359134,358003,356889,355860,354829,353963,352752,351466,350653,350364,350017,349306,348465,348030,347871,347928,348083,348338,348942,349560,350376,351432,352923,354637,356339,357666,359179,360447,361721,362538,363466,364445,364943,364728,364636,364919,365398,365516,365485,365608,365962,366495,366710,366792,367205,368035,368622,368690,368798,369166,369569,369759,369919,369974,370130,370479,370777,371188,371581,372607,373561,374637,375496,376485,377226,378230,379532,380733,381612,382390,383515,384647,385584,386485,387504,388936,390353,391826,393046,394537,396531,398419,399907,400804,401636,402459,403514,404476,405742,406732,407727,408447,409618,410234,410887,411169,412206,413316,414229,415004,415636,416444,417350,418391,418949,420034,421245
394692,6,"Houston, TX",Msa,TX,203346,203444,203437,203624,203757,203795,203704,203705,203931,204302,204715,205183,205193,205014,204786,204844,205024,205378,205870,206334,206612,206792,207180,207582,208549,209450,210446,210829,211249,211658,212141,212492,212874,213241,213260,213158,213304,214241,215670,217093,218326,219452,220693,222016,223023,223926,224797,225872,226824,227375,227540,227860,228022,228330,228465,228813,229182,229384,230001,230512,230739,230550,229809,229301,229075,229064,229098,228739,228860,229171,229458,229616,229669,229926,230619,231544,232423,233310,234044,235052,235707,236318,236762,237213,237831,238135,238268,238284,238281,238553,238650,239055,239302,239748,240166,240736,241551,243111,245385,247204,249058,249892,251467,252546,254054,255358,256574,257900,259041,260148,260657,261144,261189,261756,261987,262248,262272,262208,262528,262607,263092,263324,263920,264420,265337,266071,266945,267852,268938,270087,271027,271989,272794,273100,273053,273179,273573,274220,274435,275062,275617,276194,276632,277109,276833,276253,275468,275099,274430,273698,273196,272554,271890,271280,270164,268834,267835,267861,267974,267864,267798,268151,268793,269168,269129,268732,269039,269554,269969,270062,270524,270934,271038,270295,268769,267025,265745,265054,264659,264080,263319,262167,260569,259260,258176,257748,257652,257802,257928,257982,257301,257021,257066,257711,258413,258920,259691,260326,261269,262162,263010,263587,264842,266130,267785,269480,272058,275019,277833,280227,282493,284861,287331,290091,292760,295219,297688,300187,302052,303460,304812,307053,309826,313102,316323,319085,321509,323964,326134,328037,330158,332453,334655,336289,337231,337863,338398,339377,340013,340566,341390,342121,342401,342301,342672,343129,343673,343779,343900,343920,344675,345584,345964,346524,347259,348113,348453,348789,349271,349648,350131,350626,351388,352134,352863,353239,353739,354934,356284,357312,358024,359179,360460,361501,362216,362883,364370,365552,366153,365861,366067,366825,367786,368322,368715,369302,369879,370478,370566,371034,371875,373057,373883
395209,7,"Washington, DC",Msa,DC,294002,293531,293228,292604,292137,291643,291139,290884,290811,290945,290898,290968,290573,290362,289993,290101,290176,290420,290804,291010,291015,290934,291170,291333,292141,292895,293953,294399,294808,295136,295497,295962,296553,297107,297679,298492,299508,300921,302261,303732,305151,306813,308480,309916,311653,313464,315748,317759,319893,321823,323718,325617,327767,330113,332959,336308,339647,343167,346362,350057,353643,357098,360780,364717,368962,372897,376556,380142,383815,387546,391621,395726,399867,403793,407791,411956,416310,420896,425687,430690,435503,440294,445030,449843,454467,459800,465045,470107,474260,478524,482676,487098,491904,497945,504433,510911,516995,523812,530922,538750,547122,556669,567502,578621,589933,599479,608666,617877,628653,638228,648006,658520,670965,682934,693528,702863,712427,721927,729818,736246,741346,746642,751620,754147,754603,753735,752483,750637,746084,741390,737719,735620,733319,730938,728302,726578,723777,719266,713989,708670,705078,700263,694705,687249,680547,672937,664308,654428,643803,634919,626757,620088,613106,607064,601155,595585,588249,581744,575863,571544,569217,568030,567992,567293,566454,566164,566847,568616,571495,572886,575090,576818,579235,579379,578472,577154,576597,575804,573813,572154,571075,572027,571523,571079,569326,569097,568478,568563,568162,567444,567533,567169,566594,566275,567693,569920,571957,573913,576316,578398,580046,582780,586015,590109,594456,597710,600455,602616,606440,610139,613769,617589,622222,626309,629863,631953,634326,636576,638581,640143,640080,639949,640226,640533,640841,640589,640620,640753,639964,640692,641608,642432,642657,643157,643781,644219,644330,645080,645423,646203,647090,646179,645911,646518,649454,651197,652541,653416,655073,656485,658368,660848,663686,667227,668914,670340,670033,671230,672683,675099,676889,678769,680677,681500,682334,683056,685223,687170,689935,692432,694955,696206,697019,697670,698274,700155,702517,705182,707113,708154,709493,710698,712151,714011,716378,718883,721362,723282,724775,726045,727597,730043,732206
394856,8,"Miami, FL",Msa,FL,208934,209152,209366,209746,210073,210590,211122,211547,211676,211807,212022,212324,212083,211971,211906,212463,212940,213283,213589,213951,214371,214648,214924,215263,216621,217744,218721,218707,218896,218562,218341,218372,219441,220770,221796,222451,222555,222760,222998,223660,224437,226057,227527,228832,229031,229258,229803,230561,231593,232804,234327,235919,237203,238332,239443,240527,241941,243400,245200,247139,249111,251156,253418,255796,258517,261224,264357,267693,271349,275111,278543,281661,284548,287382,289998,292788,295599,298717,301852,305229,308339,311466,314618,318635,322725,327103,331434,335879,339982,343596,346958,350398,354353,358594,363312,367490,372368,376954,381830,386274,391566,397416,403713,410409,417395,424836,432206,440384,448136,456746,465537,474599,484086,494125,505738,517060,527988,537617,546374,554254,562560,569616,577384,585928,593777,599867,602865,604806,605888,605801,606501,605739,604965,602910,599853,594451,588258,580773,573343,565766,558247,551807,543369,535150,523880,512962,500625,489512,478332,468416,457975,447002,435459,423606,412665,402724,393983,386051,378142,370986,364165,358992,354737,351403,348399,346614,345121,343324,342302,341635,341996,341422,340674,338585,336755,334647,332832,330019,327581,325602,323409,321309,319007,317486,315948,314720,313444,312532,311901,311896,312127,312277,312688,312863,313654,314573,316208,318375,320529,323131,325908,328920,331386,334064,337380,341614,346077,351191,356004,360356,364745,369262,373941,378208,383513,388534,393229,396298,399442,401145,403534,405491,408313,410385,412194,414282,415242,416812,418037,420595,422397,424749,426457,428636,430078,432029,434484,436802,439640,441890,444592,446701,448834,450920,453128,455857,458592,460715,462193,463635,465621,467721,469478,471020,472132,473854,475304,476719,477984,480241,482551,485029,485866,487162,487862,489876,492305,494251,496580,497786,499615,500723,501871,502379,504215,506015,507823,507021,506915,507145,507738,508222,508505,509003,509585,510621,511351,511926,512899,515360,517252,519101,520652
394347,9,"Atlanta, GA",Msa,GA,211159,211539,211875,212649,213397,214236,214988,215719,216408,217140,217891,218726,219264,219879,220523,221417,222237,222878,223596,224496,225536,226573,227474,228359,229824,231244,232623,233410,234460,235637,236935,238070,239155,240260,241634,242947,244117,245241,246578,248141,249661,251262,252953,254586,256226,257776,259360,260880,262277,263803,265427,267318,269117,270854,272479,274190,275929,277732,279352,281070,282701,284297,285680,286932,288240,289475,290744,292017,293260,294448,295609,296749,297846,298898,299819,300736,301534,302369,303090,303701,304273,304904,305607,306173,306813,307359,308063,308524,309032,309534,310111,310710,311332,311891,312472,313149,313784,314529,315277,316294,317139,317843,318572,319542,320602,321714,322709,323687,324719,325831,326999,328183,329554,331045,332318,333501,334713,336043,337525,338902,340422,341692,342737,343462,344146,345005,346106,347109,348051,348853,349689,350574,351483,352391,353396,354119,354583,354556,354323,353804,352981,352010,350902,349965,348370,346307,343748,341680,339764,337696,335301,332691,330044,327002,323242,318526,313990,309847,306113,301761,297571,294098,291874,290134,288603,286857,285636,285037,284411,283654,282710,282760,282916,282380,280031,276947,273400,270601,267727,265733,263547,261761,259081,256205,252797,250028,248241,247780,248225,248622,248695,247635,246965,246359,247482,248632,250270,251796,253396,254092,254013,254248,255594,257499,260034,262623,265399,268032,270949,273904,276801,280239,284200,287829,290735,293690,296059,298498,299992,301502,302505,303487,304983,306268,307540,308731,310052,311470,312760,313798,314703,315855,317695,319823,321455,323023,324608,326103,327590,328628,330291,331938,334261,336505,338277,339449,340328,341475,342216,343679,345334,347702,349390,351214,352826,354487,356197,358379,360860,362962,365546,367749,370172,372597,375250,377852,379786,381744,383884,386262,388587,390694,392681,394869,396862,398210,399200,399848,401160,402410,403922,404810,405712,406780,407745,408555,409317,410383,411684,413185,414487,415766,416711
