"Table 2. Per Capita Personal Income by Metropolitan Area, 2016 - 2018",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in United States,Percent change,,Rank in United States
,2016,2017,2018,2018,2017,2018,2018
Metropolitan Statistical Areas2,,,,,,,
"Midland, TX","74,624","108,595","122,247",1,45.5,12.6,1
"Bridgeport, CT","107,221","112,769","120,630",2,5.2,7,11
"San Jose, CA","91,198","98,690","106,213",3,8.2,7.6,5
"San Francisco, CA","86,852","92,638","99,424",4,6.7,7.3,7
"Naples, FL","83,659","87,092","92,686",5,4.1,6.4,22
"Boston, MA","71,510","74,779","78,694",6,4.6,5.2,84
"New York, NY","68,512","72,951","76,681",7,6.5,5.1,102
"Sebastian, FL","69,832","72,149","76,059",8,3.3,5.4,65
"Napa, CA","67,580","69,791","74,984",9,3.3,7.4,6
"Barnstable Town, MA","68,022","70,777","74,756",10,4.1,5.6,54
"Seattle, WA","66,358","69,913","74,620",11,5.4,6.7,14
"Boulder, CO","64,875","69,298","73,394",12,6.8,5.9,38
"Washington, DC","67,795","69,298","72,483",13,2.2,4.6,174
"Casper, WY","63,999","62,751","69,379",14,-2,10.6,3
"Santa Cruz, CA","61,166","64,901","69,355",15,6.1,6.9,12
"Trenton, NJ","64,505","65,877","69,344",16,2.1,5.3,79
"Charlottesville, VA","59,243","63,300","66,577",17,6.8,5.2,92
"Fayetteville, AR","60,394","62,633","65,306",18,3.7,4.3,237
"Santa Rosa, CA","57,566","60,170","64,501",19,4.5,7.2,9
"Philadelphia, PA","60,105","61,094","64,440",20,1.6,5.5,63
"Hartford, CT","59,902","61,464","64,337",21,2.6,4.7,159
"Denver, CO","56,602","60,604","64,287",22,7.1,6.1,34
"Los Angeles, CA","58,548","60,649","63,913",23,3.6,5.4,69
"Minneapolis, MN","58,345","60,167","62,889",24,3.1,4.5,190
"Santa Maria, CA","57,432","59,633","62,690",25,3.8,5.1,101
"Baltimore, MD","57,962","59,570","62,402",26,2.8,4.8,143
"Ventura, CA","57,136","58,761","61,712",27,2.8,5,107
"San Diego, CA","56,322","58,097","61,386",28,3.2,5.7,51
"Manchester, NH","56,615","58,305","61,147",29,3,4.9,126
"Chicago, IL","56,086","58,014","61,089",30,3.4,5.3,77
